N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
100,1.0,27.43885139089614,0,edge_flip_vem,,,279,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.01720000058412552,0.2179591804742813,1.0
100,1.0,27.43885139089614,0,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.01720000058412552,0.2179591804742813,1.0
100,1.0,27.43885139089614,0,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.20906135439872742,0.04884835705161095,0.20828558504581451,0.8079616479391555
100,2.0,11.728684954707337,0,edge_flip_vem,,,279,,,1e-05,0.2,0.02,0.2,0.20326052606105804,0.017192218452692032,0.2179546356201172,1.0
100,2.0,11.728684954707337,0,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20326052606105804,0.017192218452692032,0.2179546356201172,1.0
100,2.0,11.728684954707337,0,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2011331021785736,0.08400791883468628,0.1861705482006073,0.329100323955614
100,5.0,4.1484505404580005,0,edge_flip_vem,,,182,,,1e-05,0.2,0.02,0.2,0.2055400311946869,0.017397381365299225,0.21986283361911774,1.0
100,5.0,4.1484505404580005,0,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.2055400311946869,0.017397381365299225,0.21986283361911774,1.0
100,5.0,4.1484505404580005,0,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21692688763141632,0.11932031065225601,0.18235312402248383,0.11513495473941705
100,10.0,1.9945956405993723,0,edge_flip_vem,,,116,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.11851752549409866,0.0
100,10.0,1.9945956405993723,0,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.1956717073917389,0.016606444492936134,0.24934512376785278,0.7577078109175857
100,10.0,1.9945956405993723,0,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2681904137134552,0.14054954051971436,0.3587632179260254,0.04958135523402417
100,20.0,0.977390412892278,0,edge_flip_vem,,,324,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.09121666103601456,0.0
