regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,0,edge_flip_vem,,,188,,,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007748783566057682,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,0,edge_flip_spectral,,,,,,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014767932705581188,0.0010945748072117567,0.0140993632376194,0.7213431022071737
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,0,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11349055916070938,0.006929248105734587,0.11537174135446548,0.0012830584256506529
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,0,edge_flip_vem,,,195,,,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.007758541032671928,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,0,edge_flip_spectral,,,,,,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014958617277443409,0.001122141839005053,0.013914870098233223,0.7139679499214768
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,0,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11249115318059921,0.006909306161105633,0.11645980179309845,0.0015440005067599782
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,0,edge_flip_vem,,,326,,,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.00748444302007556,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,0,edge_flip_spectral,,,,,,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.016431046649813652,0.0,0.016646983101963997,0.002834693324242669
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,0,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11473821103572845,0.006849630735814571,0.1144610121846199,0.0010338154248686865
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,0,edge_flip_vem,,,385,,,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.00766352191567421,0.0,0.0,0.0
