N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.2246295064687729,0.025006728246808052,0.21127499639987946
100,1.0,5.635918426327381,1e-05,gaussian,0,0.2,0.02,0.2,0.21024776995182037,0.013290120288729668,0.19593924283981323
100,1.0,5.635918426327381,1e-05,edge_flip,0,0.2,0.02,0.2,0.20854012668132782,0.013340122066438198,0.20196275413036346
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.20686374604701996,0.03452910855412483,0.236614391207695
100,1.0,5.635918426327381,1e-05,gaussian,1,0.2,0.02,0.2,0.2101183384656906,0.01676223613321781,0.21858848631381989
100,1.0,5.635918426327381,1e-05,edge_flip,1,0.2,0.02,0.2,0.21182881295681,0.019383084028959274,0.21840618550777435
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.17299388349056244,0.0434887632727623,0.20767511427402496
100,1.0,5.635918426327381,1e-05,gaussian,2,0.2,0.02,0.2,0.17805559933185577,0.021646104753017426,0.1959896981716156
100,1.0,5.635918426327381,1e-05,edge_flip,2,0.2,0.02,0.2,0.1764754354953766,0.021800270304083824,0.1986740678548813
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.21301673352718353,0.028914904221892357,0.2163870632648468
100,1.0,5.635918426327381,1e-05,gaussian,3,0.2,0.02,0.2,0.19938787817955017,0.018706120550632477,0.20218639075756073
100,1.0,5.635918426327381,1e-05,edge_flip,3,0.2,0.02,0.2,0.1970297247171402,0.019383084028959274,0.20360709726810455
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.1851152926683426,0.027866970747709274,0.20212022960186005
100,1.0,5.635918426327381,1e-05,gaussian,4,0.2,0.02,0.2,0.16822700202465057,0.0178714357316494,0.20019051432609558
100,1.0,5.635918426327381,1e-05,edge_flip,4,0.2,0.02,0.2,0.16825371980667114,0.01616017147898674,0.1970297247171402
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.21155166625976562,0.03363758698105812,0.18391768634319305
100,1.0,5.635918426327381,1e-05,gaussian,5,0.2,0.02,0.2,0.20366697013378143,0.017014775425195694,0.18968091905117035
100,1.0,5.635918426327381,1e-05,edge_flip,5,0.2,0.02,0.2,0.2044292688369751,0.019383084028959274,0.18716366589069366
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.22620084881782532,0.02411583624780178,0.20417751371860504
100,1.0,5.635918426327381,1e-05,gaussian,6,0.2,0.02,0.2,0.20010003447532654,0.020973455160856247,0.20523466169834137
100,1.0,5.635918426327381,1e-05,edge_flip,6,0.2,0.02,0.2,0.2060736119747162,0.018174491822719574,0.20031841099262238
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.239515021443367,0.03270835801959038,0.2181176394224167
100,1.0,5.635918426327381,1e-05,gaussian,7,0.2,0.02,0.2,0.21324045956134796,0.01638622023165226,0.2252202332019806
100,1.0,5.635918426327381,1e-05,edge_flip,7,0.2,0.02,0.2,0.21676184237003326,0.01736876368522644,0.2282722443342209
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.19864292442798615,0.022897953167557716,0.19263140857219696
100,1.0,5.635918426327381,1e-05,gaussian,8,0.2,0.02,0.2,0.20092938840389252,0.01680833473801613,0.17262022197246552
100,1.0,5.635918426327381,1e-05,edge_flip,8,0.2,0.02,0.2,0.1986740678548813,0.017771627753973007,0.17154240608215332
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.2181897610425949,0.0381476916372776,0.1948142647743225
100,1.0,5.635918426327381,1e-05,gaussian,9,0.2,0.02,0.2,0.21233507990837097,0.024319056421518326,0.18903064727783203
100,1.0,5.635918426327381,1e-05,edge_flip,9,0.2,0.02,0.2,0.21182881295681,0.02462031878530979,0.18880800902843475
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.19655583798885345,0.04054814949631691,0.19712409377098083
100,1.0,5.635918426327381,1e-05,gaussian,10,0.2,0.02,0.2,0.1899108737707138,0.02105765976011753,0.18864195048809052
100,1.0,5.635918426327381,1e-05,edge_flip,10,0.2,0.02,0.2,0.1896301805973053,0.02341172657907009,0.18880800902843475
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.20549333095550537,0.032193709164857864,0.2265319675207138
100,1.0,5.635918426327381,1e-05,gaussian,11,0.2,0.02,0.2,0.20164638757705688,0.022945145145058632,0.20202897489070892
100,1.0,5.635918426327381,1e-05,edge_flip,11,0.2,0.02,0.2,0.20525144040584564,0.02220313437283039,0.2044292688369751
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.20215293765068054,0.03228026255965233,0.21711789071559906
100,1.0,5.635918426327381,1e-05,gaussian,12,0.2,0.02,0.2,0.19430847465991974,0.017502132803201675,0.2141820788383484
100,1.0,5.635918426327381,1e-05,edge_flip,12,0.2,0.02,0.2,0.20031841099262238,0.01857735589146614,0.21429532766342163
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.1969722956418991,0.0520247183740139,0.2407640814781189
100,1.0,5.635918426327381,1e-05,gaussian,13,0.2,0.02,0.2,0.18651694059371948,0.023076528683304787,0.19716103374958038
100,1.0,5.635918426327381,1e-05,edge_flip,13,0.2,0.02,0.2,0.1879858374595642,0.02220313437283039,0.1970297247171402
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,14,0.2,0.02,0.2,0.23636603355407715,0.03792404383420944,0.19464196264743805
100,1.0,5.635918426327381,1e-05,gaussian,14,0.2,0.02,0.2,0.2187909483909607,0.015154600143432617,0.19293558597564697
100,1.0,5.635918426327381,1e-05,edge_flip,14,0.2,0.02,0.2,0.21840618550777435,0.016563035547733307,0.19045235216617584
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,15,0.2,0.02,0.2,0.2226046919822693,0.040738750249147415,0.20222501456737518
100,1.0,5.635918426327381,1e-05,gaussian,15,0.2,0.02,0.2,0.20398548245429993,0.02091163955628872,0.19209815561771393
100,1.0,5.635918426327381,1e-05,edge_flip,15,0.2,0.02,0.2,0.20525144040584564,0.021800270304083824,0.19209669530391693
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,16,0.2,0.02,0.2,0.23454615473747253,0.021151773631572723,0.2126922607421875
100,1.0,5.635918426327381,1e-05,gaussian,16,0.2,0.02,0.2,0.20491059124469757,0.018527507781982422,0.19699645042419434
100,1.0,5.635918426327381,1e-05,edge_flip,16,0.2,0.02,0.2,0.20525144040584564,0.018980219960212708,0.20031841099262238
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,17,0.2,0.02,0.2,0.20625950396060944,0.027596833184361458,0.22311308979988098
100,1.0,5.635918426327381,1e-05,gaussian,17,0.2,0.02,0.2,0.20136672258377075,0.022700216621160507,0.2012360543012619
100,1.0,5.635918426327381,1e-05,edge_flip,17,0.2,0.02,0.2,0.20360709726810455,0.023008862510323524,0.20360709726810455
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,18,0.2,0.02,0.2,0.18349793553352356,0.04447423294186592,0.22098778188228607
100,1.0,5.635918426327381,1e-05,gaussian,18,0.2,0.02,0.2,0.18572178483009338,0.022770212963223457,0.19862350821495056
100,1.0,5.635918426327381,1e-05,edge_flip,18,0.2,0.02,0.2,0.1896301805973053,0.01978594809770584,0.19949623942375183
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,19,0.2,0.02,0.2,0.22213876247406006,0.020946336910128593,0.20186838507652283
100,1.0,5.635918426327381,1e-05,gaussian,19,0.2,0.02,0.2,0.20422230660915375,0.017594201490283012,0.1912621557712555
100,1.0,5.635918426327381,1e-05,edge_flip,19,0.2,0.02,0.2,0.21100664138793945,0.017771627753973007,0.19045235216617584
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.21578089892864227,0.02189844287931919,0.23151125013828278
100,2.0,2.668102829441137,1e-05,gaussian,0,0.2,0.02,0.2,0.19405345618724823,0.019861431792378426,0.20818467438220978
100,2.0,2.668102829441137,1e-05,edge_flip,0,0.2,0.02,0.2,0.2002924382686615,0.02748452126979828,0.1918499618768692
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.17927849292755127,0.03340592607855797,0.24229015409946442
100,2.0,2.668102829441137,1e-05,gaussian,1,0.2,0.02,0.2,0.1802797019481659,0.0168987438082695,0.21929064393043518
100,2.0,2.668102829441137,1e-05,edge_flip,1,0.2,0.02,0.2,0.178717240691185,0.02013019472360611,0.2181154191493988
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.209115669131279,0.037574298679828644,0.22661985456943512
100,2.0,2.668102829441137,1e-05,gaussian,2,0.2,0.02,0.2,0.2014993131160736,0.019562790170311928,0.21616727113723755
100,2.0,2.668102829441137,1e-05,edge_flip,2,0.2,0.02,0.2,0.2031065821647644,0.015533740632236004,0.2209295779466629
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.22586137056350708,0.04708743840456009,0.1845705509185791
100,2.0,2.668102829441137,1e-05,gaussian,3,0.2,0.02,0.2,0.2057265341281891,0.022161876782774925,0.17715030908584595
100,2.0,2.668102829441137,1e-05,edge_flip,3,0.2,0.02,0.2,0.1909119188785553,0.022428421303629875,0.1796552985906601
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.21713870763778687,0.023885950446128845,0.22309738397598267
100,2.0,2.668102829441137,1e-05,gaussian,4,0.2,0.02,0.2,0.20045770704746246,0.017012422904372215,0.1970404088497162
100,2.0,2.668102829441137,1e-05,edge_flip,4,0.2,0.02,0.2,0.1909119188785553,0.020589839667081833,0.1899738609790802
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.23666435480117798,0.03336489945650101,0.21767283976078033
100,2.0,2.668102829441137,1e-05,gaussian,5,0.2,0.02,0.2,0.23327714204788208,0.021463697776198387,0.1703994870185852
100,2.0,2.668102829441137,1e-05,edge_flip,5,0.2,0.02,0.2,0.2350003570318222,0.02150913141667843,0.1843455582857132
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.20842693746089935,0.03964836522936821,0.24500919878482819
100,2.0,2.668102829441137,1e-05,gaussian,6,0.2,0.02,0.2,0.20190301537513733,0.02073964662849903,0.20945724844932556
100,2.0,2.668102829441137,1e-05,edge_flip,6,0.2,0.02,0.2,0.2012304812669754,0.019210902974009514,0.2087348997592926
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.2213245928287506,0.02687358297407627,0.232894167304039
100,2.0,2.668102829441137,1e-05,gaussian,7,0.2,0.02,0.2,0.20278185606002808,0.016794869676232338,0.20910261571407318
100,2.0,2.668102829441137,1e-05,edge_flip,7,0.2,0.02,0.2,0.2106110006570816,0.019670549780130386,0.2021685391664505
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.2203926146030426,0.024718720465898514,0.19764335453510284
100,2.0,2.668102829441137,1e-05,gaussian,8,0.2,0.02,0.2,0.20025208592414856,0.021147817373275757,0.20358239114284515
100,2.0,2.668102829441137,1e-05,edge_flip,8,0.2,0.02,0.2,0.2077968418598175,0.01875125803053379,0.2284339815378189
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.22327372431755066,0.043067388236522675,0.2070552259683609
100,2.0,2.668102829441137,1e-05,gaussian,9,0.2,0.02,0.2,0.21078455448150635,0.021762380376458168,0.21136009693145752
100,2.0,2.668102829441137,1e-05,edge_flip,9,0.2,0.02,0.2,0.1843455582857132,0.025186294689774513,0.2068587988615036
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.2219884991645813,0.03891560807824135,0.22067905962467194
100,2.0,2.668102829441137,1e-05,gaussian,10,0.2,0.02,0.2,0.20333193242549896,0.025920044630765915,0.22116196155548096
100,2.0,2.668102829441137,1e-05,edge_flip,10,0.2,0.02,0.2,0.2153012603521347,0.02150913141667843,0.2068587988615036
