N,sigma,epsilon,rep,method,dp_type,delta,flip_prob,n_flipped,frac_flipped,epochs,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
100,0.5,75.26107361311833,0,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,245,0.2,0.02,0.2,0.20326530612244897,0.0172,0.2179591836734694,1.0
100,0.5,75.26107361311833,0,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,245,0.2,0.02,0.2,0.20326530612244897,0.0172,0.2179591836734694,1.0
100,0.5,75.26107361311833,1,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,237,0.2,0.02,0.2,0.20081632653061224,0.0264,0.19428571428571428,1.0
100,0.5,75.26107361311833,1,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,237,0.2,0.02,0.2,0.20081632653061224,0.0264,0.19428571428571428,1.0
100,0.5,75.26107361311833,2,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,294,0.2,0.02,0.2,0.21306122448979592,0.0164,0.20244897959183675,1.0
100,0.5,75.26107361311833,2,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,294,0.2,0.02,0.2,0.21306122448979592,0.0164,0.20244897959183675,1.0
100,0.5,75.26107361311833,3,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,654,0.2,0.02,0.2,0.19215686274509805,0.023209283713485393,0.22959183673469388,0.9291252238549075
100,0.5,75.26107361311833,3,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,654,0.2,0.02,0.2,0.19215686274509805,0.023209283713485393,0.22959183673469388,0.9291252238549075
100,0.5,75.26107361311833,4,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,350,0.2,0.02,0.2,0.2057142857142857,0.0188,0.1893877551020408,1.0
100,0.5,75.26107361311833,4,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,350,0.2,0.02,0.2,0.2057142857142857,0.0188,0.1893877551020408,1.0
100,0.5,75.26107361311833,5,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,551,0.2,0.02,0.2,0.19020408163265307,0.0188,0.19510204081632654,1.0
100,0.5,75.26107361311833,5,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,551,0.2,0.02,0.2,0.19020408163265307,0.0188,0.19510204081632654,1.0
100,0.5,75.26107361311833,6,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,954,0.2,0.02,0.2,0.06949152542372881,0.10916666666666666,0.2064102564102564,0.019622102805851988
100,0.5,75.26107361311833,6,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,954,0.2,0.02,0.2,0.06949152542372881,0.10916666666666666,0.2064102564102564,0.019622102805851988
100,0.5,75.26107361311833,7,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,214,0.2,0.02,0.2,0.19673469387755102,0.0188,0.21551020408163266,1.0
100,0.5,75.26107361311833,7,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,214,0.2,0.02,0.2,0.19673469387755102,0.0188,0.21551020408163266,1.0
100,0.5,75.26107361311833,8,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,227,0.2,0.02,0.2,0.10626262626262627,0.0,0.0,0.0
100,0.5,75.26107361311833,8,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,227,0.2,0.02,0.2,0.10626262626262627,0.0,0.0,0.0
100,0.5,75.26107361311833,9,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,456,0.2,0.02,0.2,0.2,0.0184,0.20979591836734693,1.0
100,0.5,75.26107361311833,9,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,456,0.2,0.02,0.2,0.2,0.0184,0.20979591836734693,1.0
100,0.5,75.26107361311833,10,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,171,0.2,0.02,0.2,0.19510204081632654,0.0176,0.2,1.0
100,0.5,75.26107361311833,10,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,171,0.2,0.02,0.2,0.19510204081632654,0.0176,0.2,1.0
100,0.5,75.26107361311833,11,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,199,0.2,0.02,0.2,0.11252525252525253,0.0,0.0,0.0
100,0.5,75.26107361311833,11,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,199,0.2,0.02,0.2,0.11252525252525253,0.0,0.0,0.0
100,0.5,75.26107361311833,12,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,181,0.2,0.02,0.2,0.18448979591836734,0.0188,0.19755102040816327,1.0
100,0.5,75.26107361311833,12,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,181,0.2,0.02,0.2,0.18448979591836734,0.0188,0.19755102040816327,1.0
100,0.5,75.26107361311833,13,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,656,0.2,0.02,0.2,0.21877551020408162,0.0232,0.1893877551020408,1.0
100,0.5,75.26107361311833,13,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,656,0.2,0.02,0.2,0.21877551020408162,0.0232,0.1893877551020408,1.0
100,0.5,75.26107361311833,14,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,533,0.2,0.02,0.2,0.20816326530612245,0.022,0.17877551020408164,1.0
100,0.5,75.26107361311833,14,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,533,0.2,0.02,0.2,0.20816326530612245,0.022,0.17877551020408164,1.0
100,0.5,75.26107361311833,15,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,268,0.2,0.02,0.2,0.19183673469387755,0.0176,0.19428571428571428,1.0
100,0.5,75.26107361311833,15,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,268,0.2,0.02,0.2,0.19183673469387755,0.0176,0.19428571428571428,1.0
100,0.5,75.26107361311833,16,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,775,0.2,0.02,0.2,0.1926530612244898,0.0212,0.19346938775510203,1.0
100,0.5,75.26107361311833,16,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,775,0.2,0.02,0.2,0.1926530612244898,0.0212,0.19346938775510203,1.0
100,0.5,75.26107361311833,17,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,243,0.2,0.02,0.2,0.19755102040816327,0.0244,0.18857142857142858,1.0
100,0.5,75.26107361311833,17,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,243,0.2,0.02,0.2,0.19755102040816327,0.0244,0.18857142857142858,1.0
100,0.5,75.26107361311833,18,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,247,0.2,0.02,0.2,0.20326530612244897,0.02,0.18775510204081633,1.0
100,0.5,75.26107361311833,18,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,247,0.2,0.02,0.2,0.20326530612244897,0.02,0.18775510204081633,1.0
100,0.5,75.26107361311833,19,edge_flip_pure_dp,pure,0.0,2.0631510616831042e-33,0,0.0,127,0.2,0.02,0.2,0.18448979591836734,0.0152,0.1926530612244898,1.0
100,0.5,75.26107361311833,19,edge_flip_approx_dp,approx,1e-05,2.0631304301724875e-33,0,0.0,127,0.2,0.02,0.2,0.18448979591836734,0.0152,0.1926530612244898,1.0
100,1.0,27.449962502007253,0,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,245,0.2,0.02,0.2,0.2032653061217377,0.01719999999884274,0.21795918367279335,1.0
100,1.0,27.449962502007253,0,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,245,0.2,0.02,0.2,0.2032653061217377,0.017199999998842756,0.21795918367279335,1.0
100,1.0,27.449962502007253,1,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,237,0.2,0.02,0.2,0.2008163265298951,0.026399999998864793,0.1942857142849815,1.0
100,1.0,27.449962502007253,1,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,237,0.2,0.02,0.2,0.2008163265298951,0.026399999998864807,0.1942857142849815,1.0
