N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.2209705114364624,0.012925139628350735,0.1972036361694336
100,1.0,5.635918426327381,1e-05,gaussian,0,0.2,0.02,0.2,0.21170927584171295,0.012958217412233353,0.1952296942472458
100,1.0,5.635918426327381,1e-05,edge_flip,0,0.2,0.02,0.2,0.2101844698190689,0.01857735589146614,0.19949623942375183
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.22068437933921814,0.016382811591029167,0.22712057828903198
100,1.0,5.635918426327381,1e-05,gaussian,1,0.2,0.02,0.2,0.20974117517471313,0.016745444387197495,0.21731920540332794
100,1.0,5.635918426327381,1e-05,edge_flip,1,0.2,0.02,0.2,0.20854012668132782,0.016965899616479874,0.21840618550777435
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.18631477653980255,0.01798602193593979,0.20309145748615265
100,1.0,5.635918426327381,1e-05,gaussian,2,0.2,0.02,0.2,0.18054449558258057,0.02259369008243084,0.19568167626857758
100,1.0,5.635918426327381,1e-05,edge_flip,2,0.2,0.02,0.2,0.17894195020198822,0.019383084028959274,0.19620755314826965
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.1990000158548355,0.017485959455370903,0.21401339769363403
100,1.0,5.635918426327381,1e-05,gaussian,3,0.2,0.02,0.2,0.19224807620048523,0.01624269038438797,0.20072001218795776
100,1.0,5.635918426327381,1e-05,edge_flip,3,0.2,0.02,0.2,0.19620755314826965,0.016965899616479874,0.20031841099262238
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.18297888338565826,0.015593808144330978,0.2138148695230484
100,1.0,5.635918426327381,1e-05,gaussian,4,0.2,0.02,0.2,0.16684438288211823,0.018518736585974693,0.19924050569534302
100,1.0,5.635918426327381,1e-05,edge_flip,4,0.2,0.02,0.2,0.1690758913755417,0.01857735589146614,0.1986740678548813
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.20714035630226135,0.017517659813165665,0.2069040685892105
100,1.0,5.635918426327381,1e-05,gaussian,5,0.2,0.02,0.2,0.20626910030841827,0.018471088260412216,0.18944354355335236
100,1.0,5.635918426327381,1e-05,edge_flip,5,0.2,0.02,0.2,0.2044292688369751,0.015354443341493607,0.1879858374595642
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.2306647151708603,0.015597021207213402,0.22360509634017944
100,1.0,5.635918426327381,1e-05,gaussian,6,0.2,0.02,0.2,0.19990496337413788,0.01939343847334385,0.19892488420009613
