N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.22136594355106354,0.02346084825694561,0.2244332879781723
100,1.0,5.635918426327381,1e-05,gaussian,0,0.2,0.02,0.2,0.20489658415317535,0.014513646252453327,0.19506244361400604
100,1.0,5.635918426327381,1e-05,edge_flip,0,0.2,0.02,0.2,0.20936229825019836,0.016965899616479874,0.1953853815793991
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.22313185036182404,0.03806198388338089,0.235032856464386
100,1.0,5.635918426327381,1e-05,gaussian,1,0.2,0.02,0.2,0.20835649967193604,0.0194155965000391,0.22104832530021667
100,1.0,5.635918426327381,1e-05,edge_flip,1,0.2,0.02,0.2,0.20525144040584564,0.017771627753973007,0.22169487178325653
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.18279588222503662,0.038140106946229935,0.21741877496242523
100,1.0,5.635918426327381,1e-05,gaussian,2,0.2,0.02,0.2,0.1762060970067978,0.02238299883902073,0.1952548772096634
100,1.0,5.635918426327381,1e-05,edge_flip,2,0.2,0.02,0.2,0.1748310923576355,0.020591676235198975,0.20031841099262238
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.2026391476392746,0.029763951897621155,0.2215687334537506
100,1.0,5.635918426327381,1e-05,gaussian,3,0.2,0.02,0.2,0.19714732468128204,0.018081339076161385,0.2088562697172165
100,1.0,5.635918426327381,1e-05,edge_flip,3,0.2,0.02,0.2,0.19456321001052856,0.020188812166452408,0.20031841099262238
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.19153623282909393,0.02851237542927265,0.20954003930091858
100,1.0,5.635918426327381,1e-05,gaussian,4,0.2,0.02,0.2,0.167470321059227,0.018543150275945663,0.20153117179870605
100,1.0,5.635918426327381,1e-05,edge_flip,4,0.2,0.02,0.2,0.1674315482378006,0.02099454030394554,0.1986740678548813
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.19616052508354187,0.026690078899264336,0.20017178356647491
100,1.0,5.635918426327381,1e-05,gaussian,5,0.2,0.02,0.2,0.20325973629951477,0.01750289462506771,0.1873147040605545
100,1.0,5.635918426327381,1e-05,edge_flip,5,0.2,0.02,0.2,0.20525144040584564,0.01736876368522644,0.18880800902843475
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.21581046283245087,0.026967916637659073,0.20036649703979492
100,1.0,5.635918426327381,1e-05,gaussian,6,0.2,0.02,0.2,0.20106589794158936,0.01886044256389141,0.20122207701206207
100,1.0,5.635918426327381,1e-05,edge_flip,6,0.2,0.02,0.2,0.20360709726810455,0.018980219960212708,0.20114058256149292
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.22379934787750244,0.026533957570791245,0.2227257639169693
100,1.0,5.635918426327381,1e-05,gaussian,7,0.2,0.02,0.2,0.21462780237197876,0.0165769774466753,0.2272869050502777
100,1.0,5.635918426327381,1e-05,edge_flip,7,0.2,0.02,0.2,0.21676184237003326,0.01857735589146614,0.22580572962760925
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.21533893048763275,0.03090369515120983,0.19523312151432037
100,1.0,5.635918426327381,1e-05,gaussian,8,0.2,0.02,0.2,0.19933432340621948,0.01611613668501377,0.1708463430404663
100,1.0,5.635918426327381,1e-05,edge_flip,8,0.2,0.02,0.2,0.1986740678548813,0.017771627753973007,0.17400892078876495
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.22460389137268066,0.03958216682076454,0.2060583531856537
100,1.0,5.635918426327381,1e-05,gaussian,9,0.2,0.02,0.2,0.21067573130130768,0.02316896617412567,0.18680156767368317
100,1.0,5.635918426327381,1e-05,edge_flip,9,0.2,0.02,0.2,0.2101844698190689,0.02341172657907009,0.18716366589069366
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.19783547520637512,0.04274387285113335,0.1895080953836441
100,1.0,5.635918426327381,1e-05,gaussian,10,0.2,0.02,0.2,0.18536746501922607,0.02195192687213421,0.18827375769615173
100,1.0,5.635918426327381,1e-05,edge_flip,10,0.2,0.02,0.2,0.18716366589069366,0.02502318285405636,0.19456321001052856
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.21510159969329834,0.03489604592323303,0.20690427720546722
100,1.0,5.635918426327381,1e-05,gaussian,11,0.2,0.02,0.2,0.1987634301185608,0.020960628986358643,0.2044024020433426
100,1.0,5.635918426327381,1e-05,edge_flip,11,0.2,0.02,0.2,0.202784925699234,0.01857735589146614,0.20196275413036346
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.20892181992530823,0.030934352427721024,0.21806608140468597
100,1.0,5.635918426327381,1e-05,gaussian,12,0.2,0.02,0.2,0.19640330970287323,0.018381955102086067,0.21821889281272888
100,1.0,5.635918426327381,1e-05,edge_flip,12,0.2,0.02,0.2,0.19456321001052856,0.020188812166452408,0.21511749923229218
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.2046108990907669,0.03408750146627426,0.2121938019990921
100,1.0,5.635918426327381,1e-05,gaussian,13,0.2,0.02,0.2,0.1899118572473526,0.024811023846268654,0.19730979204177856
100,1.0,5.635918426327381,1e-05,edge_flip,13,0.2,0.02,0.2,0.18880800902843475,0.022605998441576958,0.19620755314826965
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,14,0.2,0.02,0.2,0.229959174990654,0.028114859014749527,0.18519580364227295
100,1.0,5.635918426327381,1e-05,gaussian,14,0.2,0.02,0.2,0.21926526725292206,0.016721274703741074,0.1916200965642929
100,1.0,5.635918426327381,1e-05,edge_flip,14,0.2,0.02,0.2,0.220872700214386,0.016563035547733307,0.19456321001052856
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,15,0.2,0.02,0.2,0.21908585727214813,0.03999689593911171,0.2049434334039688
100,1.0,5.635918426327381,1e-05,gaussian,15,0.2,0.02,0.2,0.20362882316112518,0.01723894104361534,0.193611279129982
100,1.0,5.635918426327381,1e-05,edge_flip,15,0.2,0.02,0.2,0.2060736119747162,0.021397404372692108,0.19291886687278748
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,16,0.2,0.02,0.2,0.21597939729690552,0.04079606384038925,0.20041562616825104
100,1.0,5.635918426327381,1e-05,gaussian,16,0.2,0.02,0.2,0.2014850527048111,0.017358088865876198,0.20340682566165924
100,1.0,5.635918426327381,1e-05,edge_flip,16,0.2,0.02,0.2,0.20525144040584564,0.016965899616479874,0.19949623942375183
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,17,0.2,0.02,0.2,0.20894373953342438,0.03616872802376747,0.21972551941871643
100,1.0,5.635918426327381,1e-05,gaussian,17,0.2,0.02,0.2,0.196602925658226,0.024419572204351425,0.2052258849143982
100,1.0,5.635918426327381,1e-05,edge_flip,17,0.2,0.02,0.2,0.1986740678548813,0.024217454716563225,0.202784925699234
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,18,0.2,0.02,0.2,0.21507127583026886,0.035354942083358765,0.21192523837089539
100,1.0,5.635918426327381,1e-05,gaussian,18,0.2,0.02,0.2,0.18599632382392883,0.019822945818305016,0.19971033930778503
100,1.0,5.635918426327381,1e-05,edge_flip,18,0.2,0.02,0.2,0.1879858374595642,0.023008862510323524,0.20114058256149292
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,19,0.2,0.02,0.2,0.21970701217651367,0.02292654477059841,0.20990529656410217
100,1.0,5.635918426327381,1e-05,gaussian,19,0.2,0.02,0.2,0.20729471743106842,0.016598565503954887,0.18797992169857025
100,1.0,5.635918426327381,1e-05,edge_flip,19,0.2,0.02,0.2,0.20689578354358673,0.01616017147898674,0.1879858374595642
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.19545061886310577,0.04536599665880203,0.21345870196819305
100,2.0,2.668102829441137,1e-05,gaussian,0,0.2,0.02,0.2,0.19195178151130676,0.01928981952369213,0.1974143534898758
100,2.0,2.668102829441137,1e-05,edge_flip,0,0.2,0.02,0.2,0.1984163224697113,0.023807357996702194,0.1937260627746582
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.18469029664993286,0.031033162027597427,0.20971369743347168
100,2.0,2.668102829441137,1e-05,gaussian,1,0.2,0.02,0.2,0.17881417274475098,0.019327010959386826,0.22240743041038513
100,2.0,2.668102829441137,1e-05,edge_flip,1,0.2,0.02,0.2,0.1777791827917099,0.009558349847793579,0.2134251594543457
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.24236533045768738,0.028390388935804367,0.22804555296897888
100,2.0,2.668102829441137,1e-05,gaussian,2,0.2,0.02,0.2,0.21085770428180695,0.020802533254027367,0.21060720086097717
100,2.0,2.668102829441137,1e-05,edge_flip,2,0.2,0.02,0.2,0.1974782794713974,0.018291613087058067,0.2115490585565567
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.21298393607139587,0.03059806488454342,0.18055090308189392
100,2.0,2.668102829441137,1e-05,gaussian,3,0.2,0.02,0.2,0.19408389925956726,0.023975679650902748,0.18082936108112335
100,2.0,2.668102829441137,1e-05,edge_flip,3,0.2,0.02,0.2,0.1927880197763443,0.016453031450510025,0.1834075003862381
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.2042393535375595,0.03828365355730057,0.181754931807518
100,2.0,2.668102829441137,1e-05,gaussian,4,0.2,0.02,0.2,0.20448918640613556,0.020864292979240417,0.19199195504188538
100,2.0,2.668102829441137,1e-05,edge_flip,4,0.2,0.02,0.2,0.1993543803691864,0.016453031450510025,0.2031065821647644
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.23240810632705688,0.02830744907259941,0.20103080570697784
100,2.0,2.668102829441137,1e-05,gaussian,5,0.2,0.02,0.2,0.22220441699028015,0.01763112284243107,0.179110586643219
100,2.0,2.668102829441137,1e-05,edge_flip,5,0.2,0.02,0.2,0.2378145009279251,0.027944166213274002,0.1880977600812912
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.24007858335971832,0.039389532059431076,0.21668727695941925
100,2.0,2.668102829441137,1e-05,gaussian,6,0.2,0.02,0.2,0.20767953991889954,0.024012135341763496,0.20490814745426178
100,2.0,2.668102829441137,1e-05,edge_flip,6,0.2,0.02,0.2,0.2021685391664505,0.01691267639398575,0.2143632173538208
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.21888206899166107,0.03914888948202133,0.22614161670207977
100,2.0,2.668102829441137,1e-05,gaussian,7,0.2,0.02,0.2,0.20470650494098663,0.021600287407636642,0.20247720181941986
100,2.0,2.668102829441137,1e-05,edge_flip,7,0.2,0.02,0.2,0.1899738609790802,0.014614449813961983,0.1956021785736084
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.23578932881355286,0.024423252791166306,0.2334361970424652
100,2.0,2.668102829441137,1e-05,gaussian,8,0.2,0.02,0.2,0.20415152609348297,0.018403435125947,0.21680061519145966
100,2.0,2.668102829441137,1e-05,edge_flip,8,0.2,0.02,0.2,0.1937260627746582,0.006340831983834505,0.2228056788444519
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.22695797681808472,0.03456636145710945,0.19922643899917603
100,2.0,2.668102829441137,1e-05,gaussian,9,0.2,0.02,0.2,0.21017295122146606,0.023281347006559372,0.20521925389766693
100,2.0,2.668102829441137,1e-05,edge_flip,9,0.2,0.02,0.2,0.2115490585565567,0.029782747849822044,0.1984163224697113
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.2081316113471985,0.03314239904284477,0.2188841998577118
100,2.0,2.668102829441137,1e-05,gaussian,10,0.2,0.02,0.2,0.2164372205734253,0.024262869730591774,0.21370163559913635
100,2.0,2.668102829441137,1e-05,edge_flip,10,0.2,0.02,0.2,0.2068587988615036,0.01277586817741394,0.2171773612499237
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.18964740633964539,0.04587876796722412,0.20616242289543152
100,2.0,2.668102829441137,1e-05,gaussian,11,0.2,0.02,0.2,0.20066939294338226,0.021330343559384346,0.20226067304611206
100,2.0,2.668102829441137,1e-05,edge_flip,11,0.2,0.02,0.2,0.2087348997592926,0.015533740632236004,0.1984163224697113
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.21832415461540222,0.03572365269064903,0.20827266573905945
100,2.0,2.668102829441137,1e-05,gaussian,12,0.2,0.02,0.2,0.18603810667991638,0.014654954895377159,0.2025952935218811
100,2.0,2.668102829441137,1e-05,edge_flip,12,0.2,0.02,0.2,0.1712128221988678,0.013695158995687962,0.1993543803691864
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.22741274535655975,0.03503454849123955,0.20764552056789398
