N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.22315551340579987,0.014993598684668541,0.1957368701696396
100,1.0,5.635918426327381,1e-05,gaussian,0,0.2,0.02,0.2,0.2079905867576599,0.015064919367432594,0.1972709596157074
100,1.0,5.635918426327381,1e-05,edge_flip,0,0.2,0.02,0.2,0.21100664138793945,0.01616017147898674,0.1970297247171402
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.20340600609779358,0.03160865232348442,0.22315852344036102
100,1.0,5.635918426327381,1e-05,gaussian,1,0.2,0.02,0.2,0.21178074181079865,0.01731870137155056,0.22265715897083282
100,1.0,5.635918426327381,1e-05,edge_flip,1,0.2,0.02,0.2,0.2101844698190689,0.015354443341493607,0.21676184237003326
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.1759578287601471,0.03373926877975464,0.2080783098936081
100,1.0,5.635918426327381,1e-05,gaussian,2,0.2,0.02,0.2,0.17615707218647003,0.02326168678700924,0.1959492266178131
100,1.0,5.635918426327381,1e-05,edge_flip,2,0.2,0.02,0.2,0.17811977863311768,0.02220313437283039,0.1953853815793991
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.20487351715564728,0.020350394770503044,0.20311062037944794
100,1.0,5.635918426327381,1e-05,gaussian,3,0.2,0.02,0.2,0.19757387042045593,0.018946977332234383,0.20098747313022614
100,1.0,5.635918426327381,1e-05,edge_flip,3,0.2,0.02,0.2,0.1953853815793991,0.018174491822719574,0.202784925699234
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.16974370181560516,0.0379166342318058,0.21443352103233337
100,1.0,5.635918426327381,1e-05,gaussian,4,0.2,0.02,0.2,0.16847048699855804,0.019017012789845467,0.1994706392288208
100,1.0,5.635918426327381,1e-05,edge_flip,4,0.2,0.02,0.2,0.16660937666893005,0.018980219960212708,0.19785189628601074
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.22415423393249512,0.015387811698019505,0.19819220900535583
100,1.0,5.635918426327381,1e-05,gaussian,5,0.2,0.02,0.2,0.2037515491247177,0.016778361052274704,0.18705426156520844
100,1.0,5.635918426327381,1e-05,edge_flip,5,0.2,0.02,0.2,0.20525144040584564,0.015757307410240173,0.18634149432182312
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.21632780134677887,0.015104365535080433,0.22155165672302246
