N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.2549669146537781,0.029166312888264656,0.23256440460681915
100,1.0,5.635918426327381,1e-05,gaussian,0,0.2,0.02,0.2,0.21027149260044098,0.014276501722633839,0.20076055824756622
100,1.0,5.635918426327381,1e-05,edge_flip,0,0.2,0.02,0.2,0.2101844698190689,0.014548715204000473,0.19785189628601074
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.2490062415599823,0.02585439383983612,0.26175597310066223
100,1.0,5.635918426327381,1e-05,gaussian,1,0.2,0.02,0.2,0.21009306609630585,0.016904300078749657,0.2206447869539261
100,1.0,5.635918426327381,1e-05,edge_flip,1,0.2,0.02,0.2,0.20854012668132782,0.018980219960212708,0.2175840139389038
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.21938084065914154,0.041196465492248535,0.2265736609697342
100,1.0,5.635918426327381,1e-05,gaussian,2,0.2,0.02,0.2,0.1760534793138504,0.022451046854257584,0.19801372289657593
100,1.0,5.635918426327381,1e-05,edge_flip,2,0.2,0.02,0.2,0.17729760706424713,0.019383084028959274,0.1970297247171402
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.22323670983314514,0.024055659770965576,0.2613771855831146
100,1.0,5.635918426327381,1e-05,gaussian,3,0.2,0.02,0.2,0.19273263216018677,0.02017931453883648,0.20135706663131714
100,1.0,5.635918426327381,1e-05,edge_flip,3,0.2,0.02,0.2,0.1953853815793991,0.018174491822719574,0.19949623942375183
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.20346371829509735,0.030691806226968765,0.23966678977012634
100,1.0,5.635918426327381,1e-05,gaussian,4,0.2,0.02,0.2,0.16481131315231323,0.01861567609012127,0.19653722643852234
100,1.0,5.635918426327381,1e-05,edge_flip,4,0.2,0.02,0.2,0.1674315482378006,0.020188812166452408,0.1986740678548813
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.2317049652338028,0.04080362617969513,0.2297508865594864
100,1.0,5.635918426327381,1e-05,gaussian,5,0.2,0.02,0.2,0.2030976414680481,0.018494900315999985,0.18757516145706177
100,1.0,5.635918426327381,1e-05,edge_flip,5,0.2,0.02,0.2,0.20689578354358673,0.016965899616479874,0.1912745237350464
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.2351842075586319,0.020069781690835953,0.2419426590204239
100,1.0,5.635918426327381,1e-05,gaussian,6,0.2,0.02,0.2,0.2034679651260376,0.019758133217692375,0.20189470052719116
100,1.0,5.635918426327381,1e-05,edge_flip,6,0.2,0.02,0.2,0.2060736119747162,0.019383084028959274,0.20525144040584564
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.2516848146915436,0.04104160889983177,0.2623111605644226
100,1.0,5.635918426327381,1e-05,gaussian,7,0.2,0.02,0.2,0.21847182512283325,0.017327992245554924,0.22514499723911285
100,1.0,5.635918426327381,1e-05,edge_flip,7,0.2,0.02,0.2,0.21511749923229218,0.01736876368522644,0.22745007276535034
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.22429080307483673,0.04350953921675682,0.2058325856924057
100,1.0,5.635918426327381,1e-05,gaussian,8,0.2,0.02,0.2,0.19357874989509583,0.018609043210744858,0.17258140444755554
100,1.0,5.635918426327381,1e-05,edge_flip,8,0.2,0.02,0.2,0.1986740678548813,0.019383084028959274,0.16989806294441223
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.25002533197402954,0.03560296818614006,0.21642395853996277
100,1.0,5.635918426327381,1e-05,gaussian,9,0.2,0.02,0.2,0.2048925906419754,0.02459772489964962,0.191031351685524
100,1.0,5.635918426327381,1e-05,edge_flip,9,0.2,0.02,0.2,0.20936229825019836,0.02341172657907009,0.18634149432182312
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.2332313507795334,0.03652153164148331,0.2309952974319458
100,1.0,5.635918426327381,1e-05,gaussian,10,0.2,0.02,0.2,0.18980145454406738,0.02244676649570465,0.1890954077243805
100,1.0,5.635918426327381,1e-05,edge_flip,10,0.2,0.02,0.2,0.18880800902843475,0.020188812166452408,0.19209669530391693
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.24738863110542297,0.03432746231555939,0.23183681070804596
100,1.0,5.635918426327381,1e-05,gaussian,11,0.2,0.02,0.2,0.2069960981607437,0.020763929933309555,0.20206616818904877
100,1.0,5.635918426327381,1e-05,edge_flip,11,0.2,0.02,0.2,0.20360709726810455,0.024217454716563225,0.202784925699234
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.2398834526538849,0.047995418310165405,0.24494671821594238
100,1.0,5.635918426327381,1e-05,gaussian,12,0.2,0.02,0.2,0.1990252435207367,0.01910092681646347,0.21543079614639282
100,1.0,5.635918426327381,1e-05,edge_flip,12,0.2,0.02,0.2,0.19456321001052856,0.01736876368522644,0.2134731560945511
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.22145898640155792,0.03986993059515953,0.22501292824745178
100,1.0,5.635918426327381,1e-05,gaussian,13,0.2,0.02,0.2,0.18742957711219788,0.024998048320412636,0.20226716995239258
100,1.0,5.635918426327381,1e-05,edge_flip,13,0.2,0.02,0.2,0.18634149432182312,0.023814590647816658,0.19785189628601074
