N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.00021328013099264354,0.9997634887695312,0.00020991108613088727
100,1.0,5.635918426327381,1e-05,gaussian,0,0.2,0.02,0.2,0.2082878053188324,0.01580379530787468,0.20085027813911438
100,1.0,5.635918426327381,1e-05,edge_flip,0,0.2,0.02,0.2,0.20771795511245728,0.012534393928945065,0.19620755314826965
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.0001950781443156302,0.999747097492218,0.00019736734975595027
100,1.0,5.635918426327381,1e-05,gaussian,1,0.2,0.02,0.2,0.20524562895298004,0.017426976934075356,0.2199614942073822
100,1.0,5.635918426327381,1e-05,edge_flip,1,0.2,0.02,0.2,0.20689578354358673,0.016965899616479874,0.220872700214386
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.00021339331578928977,0.9997590184211731,0.00021300640946719795
100,1.0,5.635918426327381,1e-05,gaussian,2,0.2,0.02,0.2,0.17613092064857483,0.02214493229985237,0.2007444053888321
100,1.0,5.635918426327381,1e-05,edge_flip,2,0.2,0.02,0.2,0.17400892078876495,0.02220313437283039,0.20031841099262238
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.00020210733055137098,0.9997531175613403,0.00020464244880713522
100,1.0,5.635918426327381,1e-05,gaussian,3,0.2,0.02,0.2,0.19454969465732574,0.019145306199789047,0.20338989794254303
100,1.0,5.635918426327381,1e-05,edge_flip,3,0.2,0.02,0.2,0.19456321001052856,0.019383084028959274,0.20360709726810455
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.00023073497868608683,0.9997523427009583,0.0002272629353683442
100,1.0,5.635918426327381,1e-05,gaussian,4,0.2,0.02,0.2,0.17037343978881836,0.01871972531080246,0.19994418323040009
100,1.0,5.635918426327381,1e-05,edge_flip,4,0.2,0.02,0.2,0.16989806294441223,0.018174491822719574,0.20031841099262238
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.00020770968694705516,0.9997591972351074,0.0002061614504782483
100,1.0,5.635918426327381,1e-05,gaussian,5,0.2,0.02,0.2,0.20606514811515808,0.018848035484552383,0.1855376809835434
100,1.0,5.635918426327381,1e-05,edge_flip,5,0.2,0.02,0.2,0.2044292688369751,0.01616017147898674,0.1879858374595642
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.00019830655946861953,0.9997570514678955,0.00020102233975194395
100,1.0,5.635918426327381,1e-05,gaussian,6,0.2,0.02,0.2,0.20447516441345215,0.017734570428729057,0.2012922763824463
100,1.0,5.635918426327381,1e-05,edge_flip,6,0.2,0.02,0.2,0.20031841099262238,0.018174491822719574,0.20114058256149292
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.00019649698515422642,0.9997532367706299,0.0001958567154360935
100,1.0,5.635918426327381,1e-05,gaussian,7,0.2,0.02,0.2,0.2176157683134079,0.01615532487630844,0.22863523662090302
100,1.0,5.635918426327381,1e-05,edge_flip,7,0.2,0.02,0.2,0.22005052864551544,0.016965899616479874,0.2266279011964798
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.00021629589900840074,0.9997603297233582,0.00021393998758867383
100,1.0,5.635918426327381,1e-05,gaussian,8,0.2,0.02,0.2,0.20285801589488983,0.019450677558779716,0.1733519583940506
100,1.0,5.635918426327381,1e-05,edge_flip,8,0.2,0.02,0.2,0.19949623942375183,0.017771627753973007,0.17811977863311768
