N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,0.5,75.26107361311833,0,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.01720000058412552,0.2179591804742813
100,0.5,75.26107361311833,0,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.1523297280073166,0.12500788271427155,0.18868647515773773
100,0.5,75.26107361311833,1,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.2008163332939148,0.026399999856948853,0.19428572058677673
100,0.5,75.26107361311833,1,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.14766018092632294,0.12053651362657547,0.1958434283733368
100,0.5,75.26107361311833,2,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.21306122839450836,0.01640000008046627,0.2024489790201187
100,0.5,75.26107361311833,2,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.22687533497810364,0.038520447909832,0.2156388759613037
100,0.5,75.26107361311833,3,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1921568661928177,0.023209283128380775,0.22959183156490326
100,0.5,75.26107361311833,3,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.23295745253562927,0.0996851697564125,0.16501761972904205
100,0.5,75.26107361311833,4,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20571428537368774,0.018799999728798866,0.1893877536058426
100,0.5,75.26107361311833,4,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.18006128072738647,0.05022004246711731,0.2343679815530777
100,0.5,75.26107361311833,5,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19020408391952515,0.018799999728798866,0.1951020359992981
100,0.5,75.26107361311833,5,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.18390358984470367,0.06655160337686539,0.20748941600322723
100,0.5,75.26107361311833,6,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.06949152797460556,0.10916666686534882,0.2064102590084076
100,0.5,75.26107361311833,6,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.2198120504617691,0.05961032211780548,0.20750346779823303
100,0.5,75.26107361311833,7,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1967346966266632,0.018799999728798866,0.21551020443439484
100,0.5,75.26107361311833,7,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.1992681324481964,0.08736003935337067,0.198067307472229
100,0.5,75.26107361311833,8,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.10626262426376343,0.0,0.0
100,0.5,75.26107361311833,8,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.16255636513233185,0.12331129610538483,0.1835835725069046
100,0.5,75.26107361311833,9,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20000000298023224,0.018400000408291817,0.20979592204093933
100,0.5,75.26107361311833,9,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.24698925018310547,0.05044176056981087,0.19815929234027863
100,0.5,75.26107361311833,10,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1951020359992981,0.01759999990463257,0.20000000298023224
100,0.5,75.26107361311833,10,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.16142965853214264,0.12444507330656052,0.16288617253303528
100,0.5,75.26107361311833,11,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.11252525448799133
100,0.5,75.26107361311833,11,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.1873445361852646,0.0890606939792633,0.20429542660713196
100,0.5,75.26107361311833,12,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.18448980152606964,0.018799999728798866,0.19755102694034576
100,0.5,75.26107361311833,12,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.19570374488830566,0.06557553261518478,0.20678642392158508
100,0.5,75.26107361311833,13,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.21877551078796387,0.02319999970495701,0.1893877536058426
100,0.5,75.26107361311833,13,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.22008191049098969,0.0567675456404686,0.2144772708415985
100,0.5,75.26107361311833,14,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20816326141357422,0.02199999988079071,0.17877550423145294
100,0.5,75.26107361311833,14,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.2215176224708557,0.0683194249868393,0.20303598046302795
100,0.5,75.26107361311833,15,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19183672964572906,0.01759999990463257,0.19428572058677673
100,0.5,75.26107361311833,15,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.2054651379585266,0.11515488475561142,0.1465873420238495
100,0.5,75.26107361311833,16,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19265305995941162,0.021199999377131462,0.19346939027309418
100,0.5,75.26107361311833,16,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.17405085265636444,0.09732460230588913,0.20039153099060059
100,0.5,75.26107361311833,17,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19755102694034576,0.024399999529123306,0.18857142329216003
100,0.5,75.26107361311833,17,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.18009528517723083,0.11173569411039352,0.16883625090122223
100,0.5,75.26107361311833,18,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.019999999552965164,0.18775510787963867
100,0.5,75.26107361311833,18,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.19655995070934296,0.05209548398852348,0.21976672112941742
100,0.5,75.26107361311833,19,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.18448980152606964,0.015200000256299973,0.19265305995941162
100,0.5,75.26107361311833,19,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,1e-05,0.2,0.02,0.2,0.20455758273601532,0.05545707419514656,0.18184414505958557
100,1.0,27.449962502007253,0,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.01720000058412552,0.2179591804742813
100,1.0,27.449962502007253,0,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.15665704011917114,0.11448528617620468,0.20442470908164978
100,1.0,27.449962502007253,1,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.2008163332939148,0.026399999856948853,0.19428572058677673
100,1.0,27.449962502007253,1,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.1635369062423706,0.12188602983951569,0.17600856721401215
100,1.0,27.449962502007253,2,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.21306122839450836,0.01640000008046627,0.2024489790201187
100,1.0,27.449962502007253,2,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.225859135389328,0.0369536466896534,0.21257886290550232
100,1.0,27.449962502007253,3,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1921568661928177,0.023209283128380775,0.22959183156490326
