N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
100,0.1,1605.2166291686756,0,edge_flip_vem,,,,279,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.01720000058412552,0.2179591804742813,1.0
100,0.1,1605.2166291686756,0,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.14606770873069763,0.11496500670909882,0.2013293355703354,0.0863399642869166
100,0.1,1605.2166291686756,1,edge_flip_vem,,,,222,,,1e-05,0.2,0.02,0.2,0.2008163332939148,0.026399999856948853,0.19428572058677673,1.0
100,0.1,1605.2166291686756,1,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.14260385930538177,0.12239442765712738,0.19400188326835632,8.632474883146733e-16
100,0.1,1605.2166291686756,2,edge_flip_vem,,,,189,,,1e-05,0.2,0.02,0.2,0.21306122839450836,0.01640000008046627,0.2024489790201187,1.0
100,0.1,1605.2166291686756,2,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.22135166823863983,0.04665829613804817,0.20901146531105042,0.7648442977525683
100,0.1,1605.2166291686756,3,edge_flip_vem,,,,731,,,1e-05,0.2,0.02,0.2,0.1921568661928177,0.023209283128380775,0.22959183156490326,0.9291252238549075
100,0.1,1605.2166291686756,3,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2184281200170517,0.07776796072721481,0.19411270320415497,0.47063913471263574
100,0.1,1605.2166291686756,4,edge_flip_vem,,,,294,,,1e-05,0.2,0.02,0.2,0.20571428537368774,0.018799999728798866,0.1893877536058426,1.0
100,0.1,1605.2166291686756,4,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.17872454226016998,0.05108451098203659,0.23587237298488617,0.6770006327837454
100,0.1,1605.2166291686756,5,edge_flip_vem,,,,477,,,1e-05,0.2,0.02,0.2,0.19020408391952515,0.018799999728798866,0.1951020359992981,1.0
100,0.1,1605.2166291686756,5,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.17044885456562042,0.06698931753635406,0.21568460762500763,0.5333833942150725
100,0.1,1605.2166291686756,6,edge_flip_vem,,,,906,,,1e-05,0.2,0.02,0.2,0.06949152797460556,0.10916666686534882,0.2064102590084076,0.019622102805851988
100,0.1,1605.2166291686756,6,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2033006250858307,0.06521248817443848,0.21166159212589264,0.6009721799981695
100,0.1,1605.2166291686756,7,edge_flip_vem,,,,193,,,1e-05,0.2,0.02,0.2,0.1967346966266632,0.018799999728798866,0.21551020443439484,1.0
100,0.1,1605.2166291686756,7,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21878522634506226,0.05811314657330513,0.20675566792488098,0.7648442977525683
100,0.1,1605.2166291686756,8,edge_flip_vem,,,,313,,,1e-05,0.2,0.02,0.2,0.10626262426376343,0.0,0.0,0.0
100,0.1,1605.2166291686756,8,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.16002331674098969,0.12175590544939041,0.17320552468299866,0.00742391202620948
100,0.1,1605.2166291686756,9,edge_flip_vem,,,,510,,,1e-05,0.2,0.02,0.2,0.20000000298023224,0.018400000408291817,0.20979592204093933,1.0
100,0.1,1605.2166291686756,9,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2548096477985382,0.05235080420970917,0.1928212195634842,0.6770006327837454
100,0.1,1605.2166291686756,10,edge_flip_vem,,,,174,,,1e-05,0.2,0.02,0.2,0.1951020359992981,0.01759999990463257,0.20000000298023224,1.0
100,0.1,1605.2166291686756,10,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.17553330957889557,0.09061446785926819,0.18843264877796173,0.3769685615198214
100,0.1,1605.2166291686756,11,edge_flip_vem,,,,274,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.11252525448799133,0.0
100,0.1,1605.2166291686756,11,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21331748366355896,0.05099640414118767,0.22086051106452942,0.8079616479391557
100,0.1,1605.2166291686756,12,edge_flip_vem,,,,197,,,1e-05,0.2,0.02,0.2,0.18448980152606964,0.018799999728798866,0.19755102694034576,1.0
100,0.1,1605.2166291686756,12,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.20081835985183716,0.05947032943367958,0.2058401107788086,0.47063913471263574
100,0.1,1605.2166291686756,13,edge_flip_vem,,,,601,,,1e-05,0.2,0.02,0.2,0.21877551078796387,0.02319999970495701,0.1893877536058426,1.0
100,0.1,1605.2166291686756,13,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.20666050910949707,0.055968623608350754,0.22789575159549713,0.6109637147284563
100,0.1,1605.2166291686756,14,edge_flip_vem,,,,584,,,1e-05,0.2,0.02,0.2,0.20816326141357422,0.02199999988079071,0.17877550423145294,1.0
100,0.1,1605.2166291686756,14,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21156059205532074,0.06711869686841965,0.19880878925323486,0.4782391721952393
100,0.1,1605.2166291686756,15,edge_flip_vem,,,,242,,,1e-05,0.2,0.02,0.2,0.19183672964572906,0.01759999990463257,0.19428572058677673,1.0
100,0.1,1605.2166291686756,15,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.19913829863071442,0.12316980212926865,0.14070065319538116,0.015995526195054188
100,0.1,1605.2166291686756,16,edge_flip_vem,,,,713,,,1e-05,0.2,0.02,0.2,0.19265305995941162,0.021199999377131462,0.19346939027309418,1.0
100,0.1,1605.2166291686756,16,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1501636952161789,0.11789343506097794,0.20116640627384186,0.02517440612296311
100,0.1,1605.2166291686756,17,edge_flip_vem,,,,279,,,1e-05,0.2,0.02,0.2,0.19755102694034576,0.024399999529123306,0.18857142329216003,1.0
100,0.1,1605.2166291686756,17,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1858883500099182,0.0992792397737503,0.17364005744457245,0.09561854227550716
100,0.1,1605.2166291686756,18,edge_flip_vem,,,,286,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.019999999552965164,0.18775510787963867,1.0
100,0.1,1605.2166291686756,18,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1787872016429901,0.05643753707408905,0.2305603176355362,0.4782391721952393
100,0.1,1605.2166291686756,19,edge_flip_vem,,,,222,,,1e-05,0.2,0.02,0.2,0.18448980152606964,0.015200000256299973,0.19265305995941162,1.0
100,0.1,1605.2166291686756,19,sbm_dpsgd_all_noised,1492.9944069464532,122.62403657608145,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.19835247099399567,0.06006862595677376,0.18218378722667694,0.6349910030198422
100,0.5,75.26107361311833,0,edge_flip_vem,,,,279,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.01720000058412552,0.2179591804742813,1.0
100,0.5,75.26107361311833,0,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1523297280073166,0.12500788271427155,0.18868647515773773,0.01164450506997332
100,0.5,75.26107361311833,1,edge_flip_vem,,,,222,,,1e-05,0.2,0.02,0.2,0.2008163332939148,0.026399999856948853,0.19428572058677673,1.0
