N,K,dc_sigma,normalize_weights,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,mean_degree,degree_cv,max_degree,min_degree,weight_mean,weight_cv,lcc_size,lcc_frac,n_components,n_isolated,beta_nominal_00,beta_nominal_01,beta_nominal_11,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
500,2,0.25,True,0.5,75.26107361311833,0,edge_flip_vem,,,,236,,,1e-05,54.804,0.2271168276168213,95,26,1.0,0.1818459768096851,500,1.0,1,0,0.2,0.02,0.2,0.1984578313253012,0.019616,0.20234538152610443,0.19845783710479736,0.01961600035429001,0.20234538614749908,1.0
500,2,0.25,True,0.5,75.26107361311833,0,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.804,0.2271168276168213,95,26,1.0,0.1818459768096851,500,1.0,1,0,0.2,0.02,0.2,0.1984578313253012,0.019616,0.20234538152610443,0.17580947279930115,0.11881791055202484,0.15014711022377014,0.0029942257184257266
500,2,0.25,True,0.5,75.26107361311833,1,edge_flip_vem,,,,327,,,1e-05,54.552,0.22863215353642743,105,31,1.0,0.19798177436587147,500,1.0,1,0,0.2,0.02,0.2,0.19816867469879518,0.019552,0.20073895582329318,0.20073895156383514,0.019551999866962433,0.19816868007183075,1.0
500,2,0.25,True,0.5,75.26107361311833,1,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.552,0.22863215353642743,105,31,1.0,0.19798177436587147,500,1.0,1,0,0.2,0.02,0.2,0.19816867469879518,0.019552,0.20073895582329318,0.225614994764328,0.01175023429095745,0.21463114023208618,1.0
500,2,0.25,True,0.5,75.26107361311833,2,edge_flip_vem,,,,230,,,1e-05,54.748,0.23953073037393552,107,30,1.0,0.20102710900174986,500,1.0,1,0,0.2,0.02,0.2,0.20035341365461848,0.020032,0.19916465863453817,0.19916465878486633,0.020031999796628952,0.20035341382026672,1.0
500,2,0.25,True,0.5,75.26107361311833,2,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.748,0.23953073037393552,107,30,1.0,0.20102710900174986,500,1.0,1,0,0.2,0.02,0.2,0.20035341365461848,0.020032,0.19916465863453817,0.21531029045581818,0.012141761370003223,0.2208460122346878,1.0
500,2,0.25,True,0.5,75.26107361311833,3,edge_flip_vem,,,,108,,,1e-05,54.7,0.22502632249762164,102,26,1.0,0.18754822882736677,500,1.0,1,0,0.2,0.02,0.2,0.19103614457831325,0.019696,0.2087710843373494,0.1910361498594284,0.01969599910080433,0.20877107977867126,1.0
500,2,0.25,True,0.5,75.26107361311833,3,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.7,0.22502632249762164,102,26,1.0,0.18754822882736677,500,1.0,1,0,0.2,0.02,0.2,0.19103614457831325,0.019696,0.2087710843373494,0.22268645465373993,0.011851098388433456,0.21075154840946198,1.0
500,2,0.25,True,0.5,75.26107361311833,4,edge_flip_vem,,,,255,,,1e-05,54.12,0.2219492628497291,97,25,1.0,0.19149466541108426,500,1.0,1,0,0.2,0.02,0.2,0.19823293172690762,0.0192,0.19791164658634539,0.19791164994239807,0.019200000911951065,0.19823293387889862,1.0
500,2,0.25,True,0.5,75.26107361311833,4,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.12,0.2219492628497291,97,25,1.0,0.19149466541108426,500,1.0,1,0,0.2,0.02,0.2,0.19823293172690762,0.0192,0.19791164658634539,0.21255064010620117,0.011732276529073715,0.22611618041992188,1.0
