N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
1222,0.1,1605.2121193253029,0,edge_flip_vem,,,,300,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
1222,0.1,1605.2121193253029,0,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.10637497156858444,0.01306063961237669,0.14139240980148315,0.033976014010579175
1222,0.1,1605.2121193253029,1,edge_flip_vem,,,,288,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.1,1605.2121193253029,1,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12066514790058136,0.004847852047532797,0.13314607739448547,0.3236450390846923
1222,0.1,1605.2121193253029,2,edge_flip_vem,,,,267,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
1222,0.1,1605.2121193253029,2,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12564146518707275,0.00739997997879982,0.12565912306308746,0.25281627790908645
1222,0.1,1605.2121193253029,3,edge_flip_vem,,,,273,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
1222,0.1,1605.2121193253029,3,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.14930438995361328,0.00961205456405878,0.103339284658432,0.1299116598243651
1222,0.1,1605.2121193253029,4,edge_flip_vem,,,,283,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.1,1605.2121193253029,4,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.11618473380804062,0.006691980641335249,0.13579274713993073,0.21062302979418102
1222,0.1,1605.2121193253029,5,edge_flip_vem,,,,313,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
1222,0.1,1605.2121193253029,5,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12370852380990982,0.005402775015681982,0.12902384996414185,0.311421667499634
1222,0.1,1605.2121193253029,6,edge_flip_vem,,,,285,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.1,1605.2121193253029,6,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12083063274621964,0.005720139481127262,0.13046179711818695,0.32572907024632536
1222,0.1,1605.2121193253029,7,edge_flip_vem,,,,304,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.1,1605.2121193253029,7,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.10924376547336578,0.01011721696704626,0.1439312845468521,0.12764009981395597
1222,0.1,1605.2121193253029,8,edge_flip_vem,,,,315,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.1,1605.2121193253029,8,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15882457792758942,0.008918455801904202,0.09628389775753021,0.0002188869753822883
1222,0.1,1605.2121193253029,9,edge_flip_vem,,,,269,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0020514102652668953,0.021793663501739502,0.15726323425769806,0.00021362734387380577
1222,0.1,1605.2121193253029,9,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.1286415010690689,0.005645127035677433,0.12267175316810608,0.26956101867884347
1222,0.1,1605.2121193253029,10,edge_flip_vem,,,,259,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.1,1605.2121193253029,10,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15578530728816986,0.008189988322556019,0.09571323543787003,0.008857103645508872
1222,0.1,1605.2121193253029,11,edge_flip_vem,,,,288,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
